Planet Name,Host Name,Planet Letter,Default Parameter Set,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Discovery Facility,Solution Type,Planetary Parameter Reference,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) Provenance,Eccentricity,Equilibrium Temperature [K],Inclination [deg],Data show Transit Timing Variations,Stellar Parameter Reference,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],System Parameter Reference,RA [sexagesimal],RA [deg],Dec [sexagesimal],Dec [deg],Distance [pc],V (Johnson) Magnitude,Ks (2MASS) Magnitude,Gaia Magnitude,Date of Last Update,Planetary Parameter Reference Publication Date,Release Date
Kepler-724 b,Kepler-724,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.31494634,3.290,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5437.00,0.86,0.90,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h33m49.16s,293.4548441,+44d47m34.02s,44.7927823,853.1190000,15.2840000,13.3670000,15.1206000,2016-05-06,2016-05,2016-05-10
Kepler-725 b,Kepler-725,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,39.64317811,10.630,,,,,,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5363.00,0.84,0.88,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h55m54.60s,283.9774949,+44d48m41.62s,44.8115613,758.4690000,15.1450000,13.2220000,14.9929000,2016-05-06,2016-05,2016-05-10
Kepler-726 b,Kepler-726,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,21.80451088,3.260,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5452.00,0.85,0.88,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m52.15s,291.7172776,+44d53m14.45s,44.8873466,762.0810000,15.3620000,13.3290000,15.0350000,2016-05-06,2016-05,2016-05-10
Kepler-727 b,Kepler-727,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5.15448442,2.530,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5441.00,0.86,0.89,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h39m23.26s,294.8469333,+45d02m03.90s,45.0344155,831.8420000,15.4530000,13.4320000,15.3520000,2016-05-06,2016-05,2016-05-10
Kepler-728 b,Kepler-728,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5.74347727,3.340,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5660.00,0.93,0.95,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m22.17s,291.0923621,+45d06m55.83s,45.1155087,1765.2300000,15.5850000,13.9370000,15.5249000,2016-05-06,2016-05,2016-05-10
Kepler-729 b,Kepler-729,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.16635371,3.580,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5633.00,0.91,0.94,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m26.41s,286.3600604,+45d24m51.36s,45.4142664,1921.1500000,15.5670000,14.0860000,15.5472000,2016-05-06,2016-05,2016-05-10
Kepler-730 b,Kepler-730,b,1,1,2,Transit,2016,Kepler,Published Confirmed,<a refstr=CA_NTILDE_AS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...870L..17C/abstract target=ref>Ca&ntilde;as et al. 2019</a>,6.49168281,12.330,,,,1219,86.960,0,<a refstr=CA_NTILDE_AS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...870L..17C/abstract target=ref>Ca&ntilde;as et al. 2019</a>,,5620.00,1.41,1.05,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m13.15s,285.5547895,+45d34m43.83s,45.5788420,1935.0400000,15.7820000,14.1020000,15.6113000,2019-01-14,2019-01,2019-01-17
Kepler-730 c,Kepler-730,c,1,1,2,Transit,2018,Kepler,Published Confirmed,<a refstr=CA_NTILDE_AS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...870L..17C/abstract target=ref>Ca&ntilde;as et al. 2019</a>,2.85188338,1.569,,,,1607,83.810,0,<a refstr=CA_NTILDE_AS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...870L..17C/abstract target=ref>Ca&ntilde;as et al. 2019</a>,,5620.00,1.41,1.05,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m13.15s,285.5547895,+45d34m43.83s,45.5788420,1935.0400000,15.7820000,14.1020000,15.6113000,2019-01-14,2019-01,2019-01-17
Kepler-731 b,Kepler-731,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.85560355,13.880,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5849.00,1.06,1.03,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m34.37s,296.3931945,+45d34m06.72s,45.5685330,1257.1600000,15.3860000,13.7750000,15.2848000,2016-05-06,2016-05,2016-05-10
Kepler-732 b,Kepler-732,b,1,1,2,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,9.46781405,2.180,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,3631.00,0.46,0.49,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h54m55.61s,283.7317274,+45d57m30.70s,45.9585288,174.8260000,16.5300000,11.7210000,15.0519000,2016-05-06,2016-05,2016-05-10
Kepler-732 c,Kepler-732,c,1,1,2,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0.89304124,1.270,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,3631.00,0.46,0.49,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h54m55.61s,283.7317274,+45d57m30.70s,45.9585288,174.8260000,16.5300000,11.7210000,15.0519000,2016-05-06,2016-05,2016-05-10
Kepler-733 b,Kepler-733,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,20.83424726,2.820,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5418.00,0.86,0.90,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h32m04.37s,293.0181882,+45d54m52.94s,45.9147063,916.7060000,15.5610000,13.6480000,15.3954000,2016-05-06,2016-05,2016-05-10
Kepler-734 b,Kepler-734,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,6.10485286,3.560,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5326.00,0.78,0.85,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m10.95s,297.0456122,+46d01m38.60s,46.0273893,1157.2100000,14.4690000,12.6680000,14.4119000,2016-05-06,2016-05,2016-05-10
Kepler-735 b,Kepler-735,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,11.51516988,2.950,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5107.00,0.80,0.85,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h58m45.32s,284.6888328,+46d10m19.70s,46.1721391,695.0590000,15.4920000,13.4530000,15.3849000,2016-05-06,2016-05,2016-05-10
Kepler-736 b,Kepler-736,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.60147201,2.930,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5217.00,0.81,0.86,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m33.91s,285.3913092,+46d10m51.35s,46.1809293,1005.4300000,15.8090000,13.8200000,15.7425000,2016-05-06,2016-05,2016-05-10
Kepler-737 b,Kepler-737,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,28.59915399,1.960,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,3813.00,0.48,0.51,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m27.12s,291.8629793,+46d25m44.98s,46.4291614,205.1180000,15.9710000,12.0970000,15.1457000,2016-05-06,2016-05,2016-05-10
Kepler-738 b,Kepler-738,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,24.58721573,2.500,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5327.00,0.82,0.86,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m16.72s,287.5696516,+46d34m04.44s,46.5679011,1113.6500000,15.7930000,13.8180000,15.5908000,2016-05-06,2016-05,2016-05-10
Kepler-739 b,Kepler-739,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,12.53248465,3.320,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5601.00,0.90,0.93,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h20m16.32s,290.0679940,+46d34m44.95s,46.5791535,1370.6500000,15.7110000,13.8470000,15.4527000,2016-05-06,2016-05,2016-05-10
Kepler-74 b,Kepler-74,b,1,1,1,Transit,2013,Kepler,Published Confirmed,<a refstr=BONOMO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..85B/abstract target=ref>Bonomo et al. 2015</a>,7.34071100,10.760,200.22000,Mass,0.000000,1078,87.460,0,<a refstr=BONOMO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..85B/abstract target=ref>Bonomo et al. 2015</a>,F8 V,6000.00,1.12,1.18,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h32m22.21s,293.0925275,+41d21m19.83s,41.3555095,1177.5500000,14.4870000,12.9580000,14.3652000,2015-01-29,2015-03,2015-01-29
Kepler-740 b,Kepler-740,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.58410122,4.570,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5438.00,0.87,0.91,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m55.74s,286.4822566,+46d41m32.84s,46.6924560,1442.0200000,16.0220000,14.1770000,15.9235000,2016-05-06,2016-05,2016-05-10
Kepler-741 b,Kepler-741,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,7.03902374,2.970,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6129.00,1.24,1.16,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m43.62s,289.4317294,+46d37m02.99s,46.6174978,1661.8700000,15.1860000,13.6930000,15.0455000,2016-05-06,2016-05,2016-05-10
Kepler-742 b,Kepler-742,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,8.36086824,3.240,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4642.00,0.71,0.76,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h55m27.83s,283.8659676,+46d47m22.75s,46.7896522,489.2530000,15.3570000,12.8170000,15.1722000,2016-05-06,2016-05,2016-05-10
Kepler-743 b,Kepler-743,b,1,2,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.17926292,1.210,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5486.00,0.85,0.94,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m17.82s,295.5742300,+42d48m23.13s,42.8064255,278.9870000,12.6600000,10.7770000,12.5411000,2016-05-06,2016-05,2016-05-10
Kepler-744 b,Kepler-744,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,12.06222443,1.620,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5594.00,0.93,0.94,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m59.05s,296.4960493,+47d10m58.03s,47.1827848,449.9640000,13.7180000,11.9310000,13.5843000,2016-05-06,2016-05,2016-05-10
Kepler-745 b,Kepler-745,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,9.93143556,2.160,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5849.00,1.04,1.04,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m59.87s,291.4994412,+37d03m33.33s,37.0592571,1780.3800000,15.4270000,13.6210000,15.1634000,2016-05-06,2016-05,2016-05-10
Kepler-746 b,Kepler-746,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.48159251,1.110,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5418.00,0.93,0.91,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m43.73s,290.6822097,+37d21m18.57s,37.3551593,,13.7850000,11.8150000,13.6111000,2016-05-06,2016-05,2016-05-10
Kepler-747 b,Kepler-747,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,35.61760587,5.270,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5096.00,0.78,0.82,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m39.96s,288.4165196,+41d01m47.34s,41.0298175,3347.1600000,15.5950000,13.6300000,15.7244000,2016-05-06,2016-05,2016-05-10
Kepler-748 b,Kepler-748,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,7.40742793,2.520,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5934.00,1.10,1.07,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h29m03.09s,292.2628779,+37d14m13.10s,37.2369732,1705.9900000,15.3700000,13.6030000,15.2186000,2016-05-06,2016-05,2016-05-10
Kepler-749 b,Kepler-749,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,17.31716585,3.100,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5009.00,0.75,0.79,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h59m35.36s,299.8973341,+43d54m14.64s,43.9040667,721.0270000,16.1530000,13.5150000,15.7728000,2016-05-06,2016-05,2016-05-10
Kepler-75 b,Kepler-75,b,1,1,1,Transit,2013,Kepler,Published Confirmed,<a refstr=BONOMO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..85B/abstract target=ref>Bonomo et al. 2015</a>,8.88491160,11.770,3209.90000,Mass,0.570000,767,89.120,0,<a refstr=BONOMO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..85B/abstract target=ref>Bonomo et al. 2015</a>,K0 V,5200.00,0.89,0.91,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m33.03s,291.1376203,+36d34m38.44s,36.5773443,835.3560000,15.4140000,13.1180000,15.1789000,2015-01-29,2015-03,2015-01-29
Kepler-750 b,Kepler-750,b,1,1,2,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,9.42887179,3.070,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6160.00,1.23,1.15,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m23.24s,289.0968274,+44d00m15.71s,44.0043640,1296.0200000,14.6340000,13.1030000,14.4670000,2016-05-06,2016-05,2016-05-10
Kepler-750 c,Kepler-750,c,1,1,2,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,4.08899022,1.620,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6160.00,1.23,1.15,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m23.24s,289.0968274,+44d00m15.71s,44.0043640,1296.0200000,14.6340000,13.1030000,14.4670000,2016-05-06,2016-05,2016-05-10
Kepler-751 b,Kepler-751,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,17.44490636,2.460,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5387.00,0.84,0.87,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h39m22.51s,294.8438103,+44d04m39.67s,44.0776872,760.4300000,15.2110000,13.1240000,14.9800000,2016-05-06,2016-05,2016-05-10
Kepler-752 b,Kepler-752,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,18.82747265,2.810,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5373.00,0.83,0.87,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h29m04.36s,292.2681469,+37d57m20.42s,37.9556720,1232.2900000,15.8640000,13.9390000,15.7185000,2016-05-06,2016-05,2016-05-10
Kepler-753 b,Kepler-753,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5.74772501,1.910,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4346.00,0.65,0.68,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m36.78s,291.9032411,+37d54m08.52s,37.9023677,274.7670000,14.8910000,11.8750000,14.4746000,2016-05-06,2016-05,2016-05-10
Kepler-754 b,Kepler-754,b,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,14.55962370,2.010,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5935.00,1.08,1.06,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h33m00.99s,293.2541121,+37d50m46.15s,37.8461519,1770.2700000,15.3520000,13.5160000,15.1258000,2016-05-06,2016-05,2016-05-10
